,alumnoid,proyectoid,apto
0,1,1,Apto
1,2,1,Apto
2,3,1,Apto
3,4,1,Apto
4,5,1,Apto
5,6,1,Apto
6,7,1,No Apto
7,8,1,No Apto
8,9,1,Apto
9,10,1,Apto
10,11,1,Apto
11,12,1,Apto
12,13,1,Apto
13,14,1,Apto
14,15,1,Apto
15,16,1,Apto
16,17,1,Apto
17,18,1,Apto
18,19,1,Apto
19,20,1,No Apto
20,21,1,No Apto
21,22,1,Apto
22,23,1,No Apto
23,24,1,No Apto
24,25,1,Apto
25,26,1,
26,27,1,
27,28,1,
28,29,1,
29,30,1,
30,31,1,
31,32,1,
32,33,1,
33,34,1,
34,35,1,
35,36,1,
36,37,1,
37,38,1,
38,39,1,
39,40,1,
40,41,1,
41,42,1,
42,43,1,
43,44,1,
44,45,1,
45,46,1,
46,47,1,
47,48,1,
48,49,1,
49,50,1,
50,51,1,
51,52,1,
52,1,2,No Apto
53,2,2,No Apto
54,3,2,Apto
55,4,2,No Apto
56,5,2,No Apto
57,6,2,Apto
58,7,2,Apto
59,8,2,Apto
60,9,2,Apto
61,10,2,No Apto
62,11,2,Apto
63,12,2,No Apto
64,13,2,No Apto
65,14,2,Apto
66,15,2,Apto
67,16,2,No Apto
68,17,2,No Apto
69,18,2,No Apto
70,19,2,Apto
71,20,2,Apto
72,21,2,No Apto
73,22,2,Apto
74,23,2,Apto
75,24,2,Apto
76,25,2,Apto
77,26,2,
78,27,2,
79,28,2,
80,29,2,
81,30,2,
82,31,2,
83,32,2,
84,33,2,
85,34,2,
86,35,2,
87,36,2,
88,37,2,
89,38,2,
90,39,2,
91,40,2,
92,41,2,
93,42,2,
94,43,2,
95,44,2,
96,45,2,
97,46,2,
98,47,2,
99,48,2,
100,49,2,
101,50,2,
102,51,2,
103,52,2,
104,1,3,Apto
105,2,3,Apto
106,3,3,Apto
107,4,3,No Apto
108,5,3,Apto
109,6,3,Apto
110,7,3,Apto
111,8,3,Apto
112,9,3,Apto
113,10,3,Apto
114,11,3,Apto
115,12,3,No Apto
116,13,3,Apto
117,14,3,Apto
118,15,3,Apto
119,16,3,No Apto
120,17,3,Apto
121,18,3,Apto
122,19,3,Apto
123,20,3,No Apto
124,21,3,Apto
125,22,3,No Apto
126,23,3,No Apto
127,24,3,No Apto
128,25,3,Apto
129,26,3,
130,27,3,
131,28,3,
132,29,3,
133,30,3,
134,31,3,
135,32,3,
136,33,3,
137,34,3,
138,35,3,
139,36,3,
140,37,3,
141,38,3,
142,39,3,
143,40,3,
144,41,3,
145,42,3,
146,43,3,
